pub,title,title_zh,摘要_中文,申请日,app_year,country,pub_date,主IPC分类号,IPC分类号,数据来源,是否主路径
WO2025216156A1,VISUAL FIELD RANGE DETERMINATION DEVICE AND VISUAL FIELD RANGE DETERMINATION METHOD,视野范围确定装置和视野范围确定方法,该视野范围确定装置包括显示器、显示控制单元、脑电图仪、频率分量检测单元和确定单元。所述显示器具有显示屏，所述显示屏包括以二维阵列布置的多个显示单元。显示控制部对显示画面进行发光控制。脑电图仪通过光发射测量由视觉刺激诱发的对象的脑电波信号。频率分量检测单元检测脑电波信号的频率分量。所述确定单元确定所述被摄体的视野范围。显示控制单元使多个显示单元中的第一显示单元以第一闪烁频率闪烁，并且使与第一显示单元不同的第二显示单元以与第一闪烁频率不同的第二闪烁频率闪烁。所述确定单元根据所述多个显示单元中的视野确定光发射图案的眨眼频率和所述脑电波信号的频率分量来确定所述被摄体的视野范围。,2025-04-03,2025.0,WO,2025-10-16,A61B3/024,A61B3/024; A61B5/374; A61B5/378,incoPat,False
EP3545388A4,ESTIMATIONS WITHIN DISPLAYS,显示器内的估计,示例实现涉及虚拟现实/增强现实信号。 例如，一种存储可由处理资源执行以从安装在显示器上的摄像机接收眼睛跟踪信号的指令的非瞬态计算机可读介质。 所述指令可使所述处理资源使用所述眼跟踪信号来估计显示器上的位置。 所述指令可使所述处理资源接收脑电信号(EEG)。 所述指令可使所述处理资源基于所述眼跟踪信号和所述EEG信号来确定所述估计位置。,2017-03-21,2017.0,EP,2020-07-08,G06F3/01,G06F3/01; A61B3/113; A61B5/00; A61B5/0476; A61B5/11; A61B5/16; G02B27/00; G02B27/01; G06F3/0484; G06K9/00; G06K9/62,incoPat,False
EP3545388B1,ESTIMATIONS WITHIN DISPLAYS,显示器内的估计,示例实施方式涉及虚拟现实/增强现实信号。例如，一种存储指令的非暂时性计算机可读介质，所述指令可由处理资源执行以从安装在显示器上的相机接收眼睛跟踪信号。所述指令可使所述处理资源使用所述眼睛跟踪信号来估计显示器上的位置。指令可以使处理资源接收脑电图(EEG)信号。指令可以使处理资源基于眼睛跟踪信号和EEG信号来确认估计的位置。,2017-03-21,2017.0,EP,2025-11-05,A61B3/113,A61B3/113; A61B5/00; A61B5/11; A61B5/16; G02B27/00; G02B27/01; G06F3/01; G06F3/0484; G06V20/20; G06V40/20,incoPat,False
KR1020250041363A,METHOD AND APPARATUS FOR PERSONALIZING BUILT ENVIRONMENT USING ELECTROENCEPHALOGRAM SIGNAL TO HELP IMPROVE MENTAL HEALTH,使用脑电信号个性化建筑环境以帮助改善心理健康的方法和装置,公开了一种用于个性化建筑物环境的设备，其通过使用EEG信号来帮助改善心理健康。建筑物环境个性化设备可以包括通信单元、输入单元、显示器、存储一个或多个指令的存储器、以及执行存储在存储器中的指令的一个或多个处理器。处理器可以设置用户的目标建筑物，基于用户的EEG信号确定在目标建筑物内部和外部有助于改善用户的心理健康的空间以及位于该空间中的部件的特性，并且通过显示器输出所确定的空间和位于该空间中的部件。因此，提供了用户友好的建筑环境，从而提高了用户的便利性。版权所有MOIP 2026,2023-09-18,2023.0,KR,2025-03-25,G16H20/70,G16H20/70; A61B5/00; A61B5/369; G06Q50/10; G16H10/60; G16H15/00,incoPat,False
US4498080A,Apparatus and method for topographic display of multichannel data,用于多通道数据地形显示的装置和方法,在用于显示多通道EEG数据的系统中，从EEG电极矩阵接收的数据值存储在随机存取存储器中。 要显示的数字值通过寻址来自存储器的所选输入、将那些输入乘以从系数存储器取出的预定系数并求和乘积而从输入值内插。 可以在显示设备的一个帧时间内以这种方式确定显示器的每个元件。 可以以超过每秒25帧的速率实时地内插数据以用于无闪烁显示。 通过将与每个显示元件相关联的单独的值显示为不同的颜色，可以增加显示器的维度。 扩展地形显示下面的数字矩阵可以数字存储，并进一步用于进一步的操作和显示。,1983-11-17,1983.0,US,1985-02-05,G09G1/02,G09G1/02; G06F17/00,incoPat,False
US2020329884A1,Biofeedback Chair System,生物反馈椅系统,一种交互式椅子，带有可选的头戴式耳机，包括集成的心电图和脑电图传感器以及脉冲电磁场发生器，以及用户体验所需的其他输入和输出，这些体验可由计算机根据用户的当前状态、从头开始或结合其他媒体进行操作；从而允许椅子的用户将各种物理和电磁生物反馈体验整合到他们的日常生活中。当与媒体结合使用时，椅子允许用户以不仅由媒体本身决定，还由用户当前身体体验决定的方式体验媒体；从而为媒体的体验增加了额外的可变维度。,2020-04-16,2020.0,US,2020-10-22,A61B5/0402,A61B5/0402; G02B27/01; G06F3/01; A47C7/72; A61B5/0476; A47C31/12; A61B5/01,BCI,False
US2020077915A1,Massage Machine,按摩机,一种按摩机包括：脑电图仪，用于测量被治疗者的脑波；情绪估计部分，当执行按摩时，基于脑电图仪测量的脑波估计被治疗者的情绪；问题消息输出部分，用于语音输出问题消息，询问被治疗者是否要对当前正在执行的按摩进行与情绪估计部分估计的被治疗者情绪一致的设置更改；以及设置更改部分，如果被治疗者对问题消息的回复是接受设置更改，则执行设置更改。,2019-07-18,2019.0,US,2020-03-12,A61H15/00,A61H15/00; A61B5/0476; A61B5/16,BCI,False
IN202041010119A,DIGITIZED VITALS CONGREGATING HANDGLOVES,数字化生命体征聚集手套,该产品的目的是使用数字化手套监测居住在农村地区的孕妇和胎儿的生命体征。利用手套中的传感器，我们可以读取温度、呼吸压力、心率和心电图，这些读数在串行监视器上连续可见，并且所有这些生命体征都可以存储在数据库中。如果这些生命体征存在异常/不规则变化，则信息（生命体征、患者位置）将通过邮件/电话自动发送到附近的初级卫生中心。此外，所有收集到的生命体征将存储在云服务器中，这有助于医生/护士进行持续监测和支持。该产品在疫情期间，当没有或有限的交通设施时，非常有用。与正常人相比，孕妇因缺乏交通而遭受很多痛苦，但健康检查对她们来说是强制性的。因此，该产品通过让她们坐在家里，只需戴上手套即可自动记录数值并发送到云数据库，然后医生可以查看并根据其生命体征值提供建议/处方，从而极大地帮助了她们。孕妇可以完全避免旅行，从而也确保了她们的安全。该产品帮助乡村卫生护士（VHN）访问任何村庄并立即收集生命体征，只需使用一个数字化手套，而无需为每个生命体征携带单独的设备。结论：数字化手套被用作一种紧凑且可穿戴的设备。该系统收集并存储从数据库中持续检索和监测的数据。这是借助各种传感器实现的。该工作成功尝试利用了物联网平台，该平台可以帮助我们找到温度、压力、心电图、心率和呼吸测量值，并且可以根据时间、日期和位置存储到云端。,2020-03-09,2020.0,IN,2021-09-10,C12P19/04,A23K20/14; C12P19/04; B82Y30/00; C22B3/00; C08L97/02,BCI,False
EP3714353A1,Biopotential wakeup word,生物电位唤醒词,本公开的方面提供了一种产品，其被配置为获取与用户相关联的生物信号。这些生物信号可用于触发该产品即将到来的单独命令。该产品可以基于接收到的命令采取行动。如本文所述，生物信号可以包括用户电位的变化，例如EMG、EEG或EOG信号。单独命令可以是其他生物信号、语音命令或手势。该产品可以被配置为控制其自身和/或该产品外部的设备。,2018-11-06,2018.0,EP,2020-09-30,G06F3/16,G06F3/16; G06F3/01; H04R5/033; A61B5/00; G10L15/00; H04R1/10,BCI,False
US2019155226A1,Biopotential wakeup word,生物电位唤醒词,本公开的各方面提供了一种产品，配置为获取与用户相关的生物信号。生物信号可用于触发即将到来的单独命令的产品。产品可基于接收的命令采取行动。如本文所述，生物信号可包括用户电位的变化，例如EMG、EEG或EOG信号。单独命令可以是其他生物信号、语音命令或手势。产品可配置为控制其自身和/或产品外部的设备。,2017-11-21,2017.0,US,2019-05-23,A61B3/113,A61B3/113; A61B5/0496; A61B5/0476; A61B5/0488; G05B13/02,BCI,False
WO2019103841A1,Biopotential wakeup word,生物电位唤醒词,本公开的方面提供了一种产品，其配置为获取与用户相关的生物信号。这些生物信号可用于触发产品准备接收即将到来的单独命令。产品可根据接收到的命令采取行动。如本文所述，生物信号可包括用户电位的变化，例如EMG、EEG或EOG信号。单独命令可以是其他生物信号、语音命令或手势。产品可配置为控制自身和/或产品外部的设备。,2018-11-06,2018.0,WO,2019-05-31,A61B5/00,A61B5/00; G06F3/01; G06F3/16; H04R1/10; H04R5/033; G10L15/00,BCI,False
CN103052351A,Portable brainwave measuring and controlling system,便携式脑电波检测及控制系统,本发明涉及一种通过非浸湿方法检测在人的头皮发出的微弱的脑波信号，分析及处理经检测的脑波信号，从而能够检测集中度的便携式脑波检测方法和、可利用所述脑波信号控制近距离电子设备或通过互联网可进行远程监控的控制方法，其特征在于，通过戴在使用者的头部来检测脑波的脑波检测单元及以预定数据信号输出由XYZ轴构成的3轴方向的加速度值的加速度传感器而检测所述头部的移动，从而控制与脑波相关的设备的方向及速度。更详细而言，涉及一种将从所述脑波检测单元输出的信号转换为无线信号后发送所述无线信号而将其值输入到显示器装置的接收部，可数值显示输入到所述显示器装置的值，并设定其值而能精密地控制设备的便携式脑波检测仪。在控制系统中，分析通过所述便携式脑波检测仪检测的6种脑波信号德尔塔(δ)波、西塔(θ)波、阿尔法(α)波、SMR波、贝塔(β)波及伽马(σ)波、以及如上所述利用戴在使用者的头部的加速度传感器检测的根据头部的倾斜方向的信号，并用数值显示，由收发所述无线信号的近距离无线模块构成的无线系统包括无线接收模块、信号分析部及控制输出部，可连接于电脑等或控制与脑波相关的近/远距离外部设置。,2011-07-28,2011.0,CN,2013-04-17,A61B5/0476,A61B5/0476; A61B5/0482; A61B5/375,incoPat,False
US20250349092A1,ASYMMETRIC CONTENT PRESENTATION SYSTEM AND METHOD TO AUGMENT REALITY,用于增强现实的不对称内容呈现系统及方法,一种具有双面显示的用户界面设备的方法和系统，该系统可包括使用脑机接口与增强现实（AR）头戴式设备的系统。用户的意图被发送到系统，系统处理、分析并映射用户的意图。对应于用户意图的输出使用用户界面设备投射。该输出显示在用户侧的显示器上。对应于该输出的图像显示在观察者侧的显示器上。,2025-07-21,2025.0,US,2025-11-13,G06T19/00,G02B27/01; G06T19/00; G06F3/023; H04N7/14; G06F3/14; G06F16/383,BCI,False
KR20170096284A,Shoping inducing system using brain wave,利用脑电波的购物诱导系统,提供了一种利用脑电波诱导购物的系统，该系统通过使用脑电波推导出消费者偏好的产品，并引导消费者到该产品。根据本发明的一个方面，利用脑电波诱导购物的系统包括：脑电波接收部分，接收脑电波；脑电波分析部分，分析脑电波以确定偏好产品；产品分析部分，推导出与偏好产品相似的产品；以及路径形成部分，通过安装在地板上的显示器显示到相似产品所在空间的路径。,2016-02-15,2016.0,KR,2017-08-24,G06Q30/06,G06Q30/06; A61B5/0476; H04N5/225; G09F9/30; G06K19/07; H05B37/02,BCI,False
US10074024B2,Mental state analysis using blink rate for vehicles,基于眨眼率的汽车驾驶员心理状态分析,当个体与计算机交互时，通过执行各种操作，例如驾驶车辆或作为车辆中的乘客，或者通过消费媒体呈现，通过获取个体的视频来执行心理状态分析。 分析视频以确定关于个人的眨眼信息，例如眨眼速率或眨眼持续时间。 闪烁速率信息针对上下文进行补偿。 对个人所属的一组人眨眼进行评估。 基于眨眼事件、个人的眨眼持续时间、个人与组的其余部分之间的眨眼差异以及补偿的眨眼速率信息来推断个人的心理状态。 眨眼率信息和相关联的精神状态可用于修改广告、媒体呈现、数字游戏或车辆控制。,2017-08-07,2017.0,US,2018-09-11,B60Q1/00,B60Q1/00; A61B5/00; A61B5/0205; A61B5/11; A61B5/16; A61B5/18; B60K28/06; B60R11/04; G06K9/00; G06Q30/02; G16H50/20; G16Z99/00,incoPat,False
US9723992B2,Mental state analysis using blink rate,瞬目率在心理状态分析中的应用,当个人与计算机交互时，通过执行各种操作或通过消费媒体呈现，通过获取个人的视频来执行心理状态分析。 分析视频以确定关于个人的眨眼信息，例如眨眼速率或眨眼持续时间。 然后基于眨眼信息推断个体的心理状态。 眨眼率信息和相关联的精神状态可用于修改广告、媒体呈现或数字游戏。,2014-03-15,2014.0,US,2017-08-08,G06K9/00,G06K9/00; A61B5/00; A61B5/0205; A61B5/024; A61B5/08; A61B5/11; A61B5/16; G06F19/00; G06Q30/02,incoPat,False
GB2564865A,Biofeedback system and wearable device,生物反馈系统和可佩戴装置,可佩戴的EEG传感器阵列被结合到头戴设备600(例如棒球帽，碰撞头盔，游泳帽，运动头盔)中，用于监视参与活动的用户。 EEG数据例如alpha和/或theta频带可用于确定与运动表现相关的精神或情绪状态，例如恐惧心理，焦虑心理，信心心理，兴奋心理，生气心理。 这可以通过显示器提供实时监测和/或生物反馈，可能与诸如心率的生物统计数据一起，以将运动员保持在最佳功能区域(IZOF)中。 发射机将监测到的EEG信号无线发送到远程设备以进行分析。 导电织物可将传感器互连，当佩戴时传感器可横跨额叶。 传感器元件可以包括具有导电中心部分的星形主体，并且具有弹性可变形的支腿，支腿具有径向延伸的橡胶尖端(用于握持)，其可以将头皮上的毛发推开以确保良好的接触。,2017-07-24,2017.0,GB,2019-01-30,A61B5/375,A61B5/375,incoPat,False
US6654633B2,Mobile neurological signal data acquisition system and method,一种移动式神经信号数据采集系统及方法,一种移动神经学数据采集系统。 多路复用电路用于组合多个电-神经信号输入(突触“尖峰”，EEG，EKG，EMG)。 利用可编程逻辑器件将组合信号封装成包含首部和脚部的分组。 利用模拟发射机以分组的组合信号调制RF信号并将其广播到模拟接收机，在模拟接收机中解调RF信号。 使用模数转换器将解调的组合模拟信号转换为组合数字信号。 使用计算机和软件算法将组合的数字信号多路分解成原始电-神经信号的离散数字表示。 分立数字信号被发送到打印机或视频显示器以供人分析，或者被存储在诸如硬盘，软盘，磁带或CD-ROM的数字媒体上。,2001-11-07,2001.0,US,2003-11-25,A61B5/04,A61B5/04; A61B5/00; A61B5/0476; A61B5/0488,incoPat,False
CN111798974A,Method for evaluating comfort degree of human body after drinking wine products,一种评价酒类产品人体饮后舒适程度的方法,本发明属于酿造技术领域，公开了一种评价酒类产品人体饮后舒适程度的方法及应用。针对现有方法多依靠啮齿类动物行为模型评价酒类产品饮后的醉酒及舒适程度尚不能满足酒类企业酒体设计开发需求，本发明公开了一种基于ANT(注意网络测试)任务、EEG(脑电图)/ERP(事件相关电位)分析结合的客观评价酒类产品人体饮后舒适程度的方法，该方法更为客观的测量方式衡量消费者醉酒后反应无意识表现，可用于评价某个酒类产品人体饮后舒适程度的影响，以及消费者对酒类产品的接受度，或应用于对不同酒类产品的品质进行生理感官评价，从而指导酒类产品设计改进。,2019-04-09,2019.0,CN,2020-10-20,G16H50/20,G16H50/20; G16H10/20,incoPat,False
CN309976664S,音乐脑机接口器,-,1.本外观设计产品的名称：音乐脑机接口器。2.本外观设计产品的用途：用于采集、分析用户的脑电(EEG)、心率(HR)等生理信号，结合人工智能(AI)算法，推送个性化音乐。3.本外观设计产品的设计要点：在于形状。4.最能表明设计要点的图片或照片：立体图。,2025-09-19,2025.0,CN,2026-05-12,,,BCI,False
CN108836320A,一种基于嗅觉脑电波进行感官物质分类的方法,一种基于嗅觉脑电波进行感官物质分类的方法,本发明公开了一种基于嗅觉脑电波进行感官物质分类的方法，包括如下步骤：S1、利用脑‑机接口系统即脑电仪对应试者进行脑电图谱信息获取；S2、对所获取的脑电图谱数据进行预处理；S3、基于非线性特性分析对完成预处理的脑电图谱数据进行特征提取，提取其LZC复杂度、样本熵以及谱熵共12维数据作为脑电信号研究中的脑电特征；S4、采用基于遗传算法的支持向量机对步骤S3所得的脑电特征进行模式识别。本发明的方法可普适于物质的感官评价中，对新产品开发、基础研究、配料和工艺的调整、降低成本、品质保证和产品优化等评价工作具有重要作用。,2018-04-02,2018.0,CN,2018-11-20,A61B5/0476,A61B5/0476,BCI,False
US2021142657A1,Opto-Electronic Biopotential Controller,光电生物电位控制器,本技术提供了一种用于模拟和检测生物信号（如脑生物信号）的系统和方法。光纤提供从光信号调制器接收的调制信号。调制信号由设置在仿体内的发射元件组接收，这些发射元件输出相应的电信号。电信号由传感器组检测，并由接收设备（例如用于脑电图、心电图、肌电图或脑磁图诊断系统）进行评估。控制器管理光信号的调制，以便根据需要生成特定的电信号。由于仿体内可布置数十、数百或数千个发射元件，控制器可以管理光信号调制器的操作，从而快速有效地映射每个发射元件的精确物理位置。控制器还可以类似方式检测有缺陷的组件。,2019-11-13,2019.0,US,2021-05-13,G08C23/06,G08C23/06; G06F3/01,BCI,False
US11727792B2,Opto-electronic biopotential controller,光电生物电位控制器,本技术提供了一种用于模拟和检测生物信号（如大脑生物信号）的系统和方法。光纤提供从光信号调制器接收的调制信号。调制信号由设置在仿体内的发射元件组接收，这些发射元件输出相应的电信号。电信号由传感器组检测，并由接收设备（例如用于脑电图（EEG）、心电图（ECG）、肌电图（EMG）或脑磁图（MEG）诊断系统）评估。控制器管理光信号的调制，以便根据需要生成特定的电信号。由于仿体中可能布置数十、数百或数千个发射元件，控制器可以管理光信号调制器的操作，以便快速有效地映射每个发射元件的精确物理位置。控制器还可以类似方式检测有缺陷的组件。,2019-11-13,2019.0,US,2023-08-15,G08C23/06,G08C23/06; A61B5/245; A61B5/25; A61B5/296; G06F3/01,BCI,False
WO2021096559A1,Opto-electronic biopotential controller,光电生物电位控制器,本技术提供了一种用于模拟和检测生物信号（如脑生物信号）的系统(200)和方法(700)。光纤(204)提供从光信号调制器(258)接收的调制信号。调制信号由设置在仿体内的多个发射元件(206)接收，这些元件输出相应的电信号。电信号由一组传感器(208)检测，并由接收设备(210)评估，例如用于脑电图(EEG)、心电图(ECG)、肌电图(EMG)或脑磁图(MEG)诊断系统。控制器(252)管理光信号的调制，以便根据需要生成特定的电信号。由于仿体中可能布置数十、数百或数千个发射元件，控制器可以管理光信号调制器的操作，从而快速有效地映射每个发射元件的精确物理位置。控制器还可以类似方式检测有缺陷的组件。,2020-05-13,2020.0,WO,2021-05-20,A61B5/1495,A61B5/1495; A61B6/00,BCI,False
US20090062681A1,CONTENT BASED SELECTION AND META TAGGING OF ADVERTISEMENT BREAKS,广告时段的内容选择与元标记,一种系统评估诸如视频、图像、网页、文本等的刺激材料，以便确定在不同时间和空间位置的各种产品和服务的共振和启动水平，包括刺激材料中的广告间隙。 刺激材料被标记有共振和启动水平信息，以允许智能地选择合适的广告内容以插入刺激材料中的不同位置。 响应数据，例如调查数据和/或神经响应数据，包括事件相关电位(ERP)、脑电图(EEG)、皮肤电流响应(GSR)、心电图(EKG)、眼电描记术(EOG)、眼跟踪和面部情绪编码数据，可用于确定共振和启动水平。,2008-08-28,2008.0,US,2009-03-05,A61B5/0476,A61B5/0476,incoPat,True
US8386312B2,Neuro-informatics repository system,神经信息存储系统,提供了一种神经信息储存库系统，以允许有效地生成、管理和访问从暴露于刺激材料的受试者获得的中枢神经系统、自主神经系统、效应器数据和行为数据。 使用诸如脑电图(EEG)、眼电描记术(EOG)、皮肤电反应(GSR)、事件相关电位(ERP)、调查等多种方式收集的数据使用多种数据模型来存储，以允许有效的查询、报告生成、分析和/或可视化。,2008-05-01,2008.0,US,2013-02-26,G06Q30/00,G06Q30/00; G16Z99/00,incoPat,True
US8386313B2,Stimulus placement system using subject neuro-response measurements,使用受试者神经响应测量刺激放置系统,一种系统评估和选择用于引入刺激材料的时间和空间位置。 分析视频流、物理位置、印刷广告、商店货架、图像、广告等，以识别用于引入刺激材料的位置，例如消息、品牌图像、产品、媒体、营销和/或其他销售材料。 该系统分析来自暴露于不同时间和空间位置的刺激材料的受试者的神经反应测量。 神经响应测量的示例包括脑电图(EEG)、皮肤电流响应(GSR)、心电图(EKG)、眼电描记术(EOG)、眼跟踪和面部情绪编码测量。 分析神经响应测量值以选择用于引入刺激材料的时间和空间位置。,2008-08-27,2008.0,US,2013-02-26,G06Q30/00,G06Q30/00; A61B5/375,incoPat,True
US20110105937A1,ANALYSIS OF CONTROLLED AND AUTOMATIC ATTENTION FOR INTRODUCTION OF STIMULUS MATERIAL,刺激材料导入的控制注意和自动注意分析,一种系统分析来自暴露于刺激材料的受试者的神经反应测量，包括区域脑电图(EEG)测量，以确定刺激材料中的位置，从而引起受控注意和自动注意。 将附加的刺激材料插入到具有显著注意属性的位置。 在一些示例中，挑战性任务用于将受控注意力引导到位置，并且在位置中巧妙地呈现额外的刺激材料，以受益于自动注意和显著性注意测量。在一些示例中，挑战性任务用于将受控注意力引导到位置，并且在位置中巧妙地呈现额外的刺激材料以受益于自动注意和显著性注意测量。,2009-10-29,2009.0,US,2011-05-05,A61B5/0484,A61B5/0484,incoPat,False
US9336535B2,Neuro-response data synchronization,神经反应数据同步,一种示例系统包括一个头戴式耳机，用于在用户暴露于刺激材料时从用户收集第一数据，该第一数据包括第一神经反应数据和第二神经反应数据。在该示例系统中，头戴式耳机包括：第一传感器，用于收集第一神经反应数据，该第一神经反应数据包括脑电图数据或脑磁图数据中的至少一种；以及第二传感器，用于收集第二神经反应数据，该第二神经反应数据包括面部情绪编码数据。头戴式耳机还包括一个处理器，用于同步第一神经反应数据、第二神经反应数据和刺激材料以生成同步数据，并基于同步数据确定刺激材料的一部分的有效性。,2014-02-11,2014.0,US,2016-05-10,A61B5/0476,A61B5/0476; A61B5/00; A61B5/0488; G06Q30/02; A61B5/04; A61B5/0408; A61B5/0496,BCI,False
US20140164095A1,NEURO-RESPONSE DATA SYNCHRONIZATION,神经反应数据同步,一种示例性系统包括耳机，用于在用户暴露于刺激材料时从用户收集包括第一神经响应数据和第二神经响应数据的第一数据。 在示例系统中，耳机包括用于收集第一神经响应数据的第一传感器，第一神经响应数据包括脑电图数据或脑磁图数据中的至少一个，以及用于收集第二神经响应数据的第二传感器，第二神经响应数据包括面部情感编码数据。 所述耳机还包括处理器，用于同步所述第一神经响应数据、所述第二神经响应数据和所述刺激材料以生成同步数据并基于所述同步数据确定所述刺激材料的一部分的有效性。,2014-02-11,2014.0,US,2014-06-12,G06Q30/02,G06Q30/02,incoPat,False
WO2020014780A1,SYSTEMS AND METHODS FOR COGNITIVE HEALTH ASSESSMENT,用于认知健康评估的系统和方法,描述了一种用于评估认知功能的改进系统，该系统使用响应于特定刺激序列而跟踪的个体大脑电活动来生成数据集，例如，这些数据集可以封装为数据结构。数据集可以包括在不同时间和振幅下跟踪的特定响应类型，包括但不限于事件相关电位信号分量。脑电波特征（包括事件相关电位）与预注意脑反应和有意识控制的注意反应相关进行跟踪。,2019-07-16,2019.0,WO,2020-01-23,A61B5/0484,A61B5/16; A61B5/0476; A61B5/0484,BCI,False
CA3102455A1,SYSTEMS AND METHODS FOR COGNITIVE HEALTH ASSESSMENT,用于认知健康评估的系统和方法,描述了一种用于评估认知功能的改进系统，该系统使用响应于特定刺激序列而跟踪的个体大脑电活动来生成数据集，例如，这些数据集可以封装为数据结构。数据集可以包括在不同时间和振幅下跟踪的特定响应类型，包括但不限于事件相关电位信号分量。脑电波特征（包括事件相关电位）与预注意脑反应和有意识控制的注意反应相关进行跟踪。,2019-07-16,2019.0,CA,2020-01-23,A61B5/16,A61B5/16,BCI,False
US20250370541A1,BRAIN-COMPUTER INTERFACE,脑-计算机接口,一种涉及脑机接口的系统和方法，其中提供覆盖一个或多个对象的视觉刺激，该视觉刺激的至少一部分具有特征调制。脑机接口测量用户对观察对象的神经反应。对视觉刺激的神经反应与调制相关，当注意力集中在视觉刺激上时，相关性更强。视觉刺激包括一个反馈元素，该反馈元素根据对每个覆盖对象的注意力度量而变化。,2025-08-19,2025.0,US,2025-12-04,G06F3/01,G06F3/01,BCI,False
US2025217676A1,"Using environmental stimulus in machine learning to recognize neural activities, and applications thereof",在机器学习中使用环境刺激来识别神经活动及其应用,在一个实施例中，提供了一种用于解码神经活动的计算机实现方法。在该方法中，使用从数据收集参与者收集的脑电图数据和同时收集的环境数据组成的训练数据集来训练至少一个机器学习模型。一旦至少一个机器学习模型被训练，接收从附着在用户头部附近或之上的传感器测量的脑电图数据。还接收描述与脑电图数据测量同时用户所暴露的刺激的环境数据。将脑电图数据和环境数据输入到至少一个机器学习模型中，以确定与神经活动相关的推断。基于该推断，改变计算机程序的操作。,2024-12-27,2024.0,US,2025-07-03,G06N5/04,G06N5/04,BCI,False
US20140164056A1,Biosensitive response evaluation for design and research,用于设计和研究的生物敏感反应评价,生物敏感性反应评估通过将眼动信息与时间编码生物传感器信息相结合来确定各种市场研究应答者在暴露于刺激的精确时刻的相对大脑状态，从而改进了设计和市场研究。 感兴趣区域(AOI)在检测到的物体上被划分。 与每个标定的AOI相关的相对生理效应被识别为生物传感器响应数据的一部分，并且可以与随后的动作直接统计相关。,2013-12-10,2013.0,US,2014-06-12,G06Q30/02,G06Q30/02,incoPat,False
US2024304098A1,Personalized education system,个性化教育系统,描述了一种系统。计算处理器被配置为：将能够被用户通过感官形式有意识地体验的记录数据表示为索引序列并维护该索引序列；在用户被监测时以感官形式向用户提供记录数据，以捕获在索引序列中的多个点处由用户对提供记录数据的反应所诱发的电神经信号；将这些信号与对应于诱发这些信号的多个点的记录数据部分配对，并根据信号对记录数据进行重新组织；测量和分析这些信号，以识别一个或多个低于自我意识和认知意识水平的生理反应；以及通知用户该一个或多个生理反应。,2024-05-16,2024.0,US,2024-09-12,G09B5/12,G09B5/12; G06F3/16; G06F3/01; G09B1/32,BCI,False
JPWO2020138012A1,"Cognitive ability detecting device,  and,  cognitive ability detection system",认知能力检测装置以及认知能力检测系统,(10)具备识别装置的能力，视觉信息取得部(12)，(13)以及脑信号取得部(14)。 (12)视觉信息获取部分，获取包含在视频对象的视觉刺激中的信息。 (13)脑信号采集，采集待测脑信号。 (14)检测，基于触发开始点的视频的视觉刺激生成定时，检测来自事件相关电位的脑信号，从检测视觉刺激的存在的观点来检测视觉信息，以检测视觉刺激认知能力。,2019-12-24,2019.0,JP,2021-10-07,A61B5/18,A61B5/18; A61B5/378; A61B10/00,incoPat,False
US20110004412A1,CLINICAL APPLICATIONS OF NEUROPSYCHOLOGICAL PATTERN ANALYSIS AND MODELING,神经心理模式分析和建模的临床应用,一种通过分解神经生理数据和EEG信号以形成多个信号特征来对神经生理数据进行功能分析的方法。 信号特征然后可选地被分析以确定一个或多个模式。,2008-11-30,2008.0,US,2011-01-06,A61B5/375,A61B5/375; G06F19/00; G06E3/00,incoPat,False
CN109923529A,信息处理装置、信息处理方法和程序,信息处理装置、信息处理方法和程序,基于观察图像的用户的脑波信号来生成评估信息，并且获取分析信息，诸如对呈现给用户的图像的感兴趣程度或感兴趣区域。包括传递图像内容的内容传递单元、接收传递内容的数据收发单元、呈现内容的头戴式显示器、以及分析内容评估信息的内容分析单元。数据收发单元结合从所述用户获取的脑波信号与图像再现控制信息而生成被设定成使得能够识别当呈现特定图像时是否输出所述脑波信号的评估信息，并且将所述评估信息输出到内容分析装置。所述内容分析装置使用所述脑波信号来分析对呈现给所述用户的图像的感兴趣程度、感兴趣区域等。,2017-10-23,2017.0,CN,2019-06-21,H04N21/442,H04N21/442; A61B5/0484; A61B5/0488; G06F13/00; A61B5/16; A61B5/0476; A61B5/107; G06V10/25,BCI,False
US12511872B2,System for determining trademark similarity,商标相似度判定系统,一种计算机实现的方法可以包括：在视觉上向多个跑步的参与者呈现视觉刺激，其中视觉刺激包括图像对，每对包括参考产品图像和竞争对手产品图像；在被动观看所述视觉呈现期间对所述参与者执行多次扫描，所述扫描包括功能性磁共振成像(fMRI)；以及基于所述扫描的结果确定相似性指数，所述相似性指数指示所述参考产品图像与所述竞争对手产品图像之间的感知相似性水平。,2022-01-31,2022.0,US,2025-12-30,A61B5/055,A61B5/055; G06V10/25; G06V10/74,incoPat,False
